%6|1760084338.533|GETSUBSCRIPTIONS|rdkafka#consumer-1| [thrd:main]: Telemetry client instance id changed from AAAAAAAAAAAAAAAAAAAAAA to vGhewPqjQWO2/kVNu3ec+A
Starting consumer with Confluent client...
Consumer will run for 30 seconds...
Frame 0001: Prediction='monitor', Latency=60.11 ms
Frame 0002: Prediction='monitor', Latency=50.62 ms
Frame 0003: Prediction='oscilloscope', Latency=49.52 ms
Frame 0004: Prediction='oscilloscope', Latency=53.92 ms
Frame 0005: Prediction='oscilloscope', Latency=71.69 ms
Frame 0006: Prediction='oscilloscope', Latency=51.83 ms
Frame 0007: Prediction='oscilloscope', Latency=50.59 ms
Frame 0008: Prediction='oscilloscope', Latency=49.45 ms
Frame 0009: Prediction='oscilloscope', Latency=50.31 ms
Frame 0010: Prediction='oscilloscope', Latency=49.07 ms
Frame 0011: Prediction='oscilloscope', Latency=51.85 ms
Frame 0012: Prediction='oscilloscope', Latency=51.66 ms
Frame 0013: Prediction='oscilloscope', Latency=48.99 ms
Frame 0014: Prediction='oscilloscope', Latency=50.34 ms
Frame 0015: Prediction='oscilloscope', Latency=46.82 ms
Frame 0016: Prediction='oscilloscope', Latency=49.62 ms
Frame 0017: Prediction='oscilloscope', Latency=50.05 ms
Frame 0018: Prediction='oscilloscope', Latency=51.54 ms
Frame 0019: Prediction='oscilloscope', Latency=49.97 ms
Frame 0020: Prediction='oscilloscope', Latency=47.09 ms
Frame 0021: Prediction='oscilloscope', Latency=47.80 ms
Frame 0022: Prediction='oscilloscope', Latency=52.64 ms
Frame 0023: Prediction='oscilloscope', Latency=46.54 ms
Frame 0024: Prediction='oscilloscope', Latency=49.85 ms
Frame 0025: Prediction='oscilloscope', Latency=49.54 ms
Frame 0026: Prediction='oscilloscope', Latency=49.45 ms
Frame 0027: Prediction='oscilloscope', Latency=49.53 ms
Frame 0028: Prediction='oscilloscope', Latency=51.56 ms
Frame 0029: Prediction='oscilloscope', Latency=50.04 ms
Frame 0030: Prediction='oscilloscope', Latency=48.65 ms
Frame 0031: Prediction='oscilloscope', Latency=52.11 ms
Frame 0032: Prediction='oscilloscope', Latency=49.64 ms
Frame 0033: Prediction='oscilloscope', Latency=50.05 ms
Frame 0034: Prediction='oscilloscope', Latency=52.04 ms
Frame 0035: Prediction='library', Latency=64.14 ms
Frame 0036: Prediction='oscilloscope', Latency=49.07 ms
Frame 0037: Prediction='oscilloscope', Latency=50.52 ms
Frame 0038: Prediction='oscilloscope', Latency=51.54 ms
Frame 0039: Prediction='oscilloscope', Latency=50.57 ms
Frame 0040: Prediction='oscilloscope', Latency=50.25 ms
Frame 0041: Prediction='oscilloscope', Latency=48.53 ms
Frame 0042: Prediction='oscilloscope', Latency=50.71 ms
Frame 0043: Prediction='oscilloscope', Latency=51.60 ms
Frame 0044: Prediction='oscilloscope', Latency=49.89 ms
Frame 0045: Prediction='oscilloscope', Latency=50.07 ms
Frame 0046: Prediction='oscilloscope', Latency=48.53 ms
Frame 0047: Prediction='oscilloscope', Latency=51.06 ms
Frame 0048: Prediction='oscilloscope', Latency=56.09 ms
Frame 0049: Prediction='oscilloscope', Latency=74.87 ms
Frame 0050: Prediction='oscilloscope', Latency=49.76 ms
Frame 0051: Prediction='oscilloscope', Latency=50.10 ms
Frame 0052: Prediction='oscilloscope', Latency=47.53 ms
Frame 0053: Prediction='oscilloscope', Latency=47.55 ms
Frame 0054: Prediction='oscilloscope', Latency=49.85 ms
Frame 0055: Prediction='oscilloscope', Latency=49.53 ms
Frame 0056: Prediction='oscilloscope', Latency=66.65 ms
